Suburb,Rooms,Type,Price,Bedroom2,Bathroom,Car,BuildingArea,YearBuilt
Airport West,3,h,720000,3,1,1,,
Airport West,4,h,765000,4,1,2,,
Airport West,4,h,900000,4,2,3,146,1975
Albert Park,2,h,1275000,2,1,0,82,1900
Albert Park,2,h,1455000,2,1,0,,
Albert Park,3,h,2850000,3,2,0,198,1890
Albert Park,3,h,1850000,3,2,0,133,1890
Albert Park,2,h,1436000,2,1,0,81,1900
Albert Park,2,h,1110000,1,1,0,,1900
Albert Park,2,h,1550000,2,1,1,,
Albert Park,4,h,2300000,4,2,1,180,1880
Albert Park,3,t,1550000,3,2,2,,
Albert Park,3,h,1800000,3,2,1,159,1996
Albert Park,2,h,2120000,2,1,1,107,1900
Albert Park,3,h,1800000,3,1,1,,
Albert Park,3,h,1800000,3,2,1,122,1900
Albert Park,2,h,1810000,2,1,0,,
Albert Park,3,h,2615000,3,2,1,181,1880
Albert Park,5,h,2100000,5,2,1,,
Albert Park,3,h,1300000,3,1,0,,
Albert Park,3,h,1370000,3,2,2,85,2000
Albert Park,2,h,1000000,2,1,0,,
Albert Park,3,h,2575000,3,2,1,,
Albert Park,2,h,1322500,2,1,0,98,1890
Albert Park,2,h,1562500,2,1,0,83,1890
Albert Park,3,h,2000000,3,2,1,147,1900
Albert Park,3,h,1900000,3,1,0,,1900
Albert Park,3,h,3010000,3,2,0,146,1890
Albert Park,4,h,2800000,4,3,1,254,1910
Albert Park,2,u,647000,2,1,1,,
Albert Park,3,h,2100000,2,1,1,123,1900
Albert Park,3,h,2000000,3,1,1,131,1890
Albert Park,1,u,442500,1,1,0,34,1970
Albert Park,4,h,4735000,4,2,1,207,1910
Albert Park,2,h,1340000,2,1,0,,
Albert Park,3,h,1801000,3,1,1,,
Albert Park,3,h,1532000,3,3,1,,
Albert Park,3,h,3755000,3,2,2,,
Albert Park,4,h,2140000,3,2,1,145,1880
Albert Park,2,h,1750000,2,1,1,,
Albert Park,2,h,980000,2,1,0,68,1890
Albert Park,3,h,2030000,3,2,0,,
Albert Park,3,h,1740000,3,2,2,134,1890
Albert Park,3,h,2800000,3,3,1,,
Albert Park,1,h,985000,1,1,0,54,1900
Alphington,4,h,2000000,3,2,4,263,1930
Alphington,3,h,1110000,3,2,2,,2013
Alphington,3,h,1492000,3,2,2,,
Alphington,4,h,1717500,4,2,1,203,1925
Alphington,5,h,2840000,5,4,4,165,1910
Alphington,2,u,525500,2,1,1,60,1960
Alphington,2,t,805000,2,2,3,140,2004
Alphington,2,u,465000,2,1,1,,
Alphington,3,h,2000000,3,3,2,,
Alphington,3,h,1540000,3,1,2,,
Alphington,2,u,820000,2,1,1,,
Alphington,4,h,1830000,4,2,2,112,1970
Alphington,4,h,2100000,4,2,2,271,2008
Alphington,3,h,865000,3,1,1,131,2010
Alphington,2,u,390000,2,1,1,60,1960
Alphington,2,t,650000,0,1,0,,
Alphington,2,u,512000,2,1,1,61,1965
Alphington,3,h,1165000,3,1,2,,
Alphington,4,h,1900000,4,2,2,272,1930
Alphington,3,h,1485000,3,0,0,,
Alphington,4,h,1950000,4,2,3,210,1920
Altona,3,h,520000,3,2,1,242,2015
Altona,5,h,1525000,5,3,3,268,2005
Altona,2,t,720000,2,1,2,125,2013
Altona,3,h,1120000,3,1,2,120,1930
Altona,4,h,780000,4,1,4,,
Altona,4,h,1780000,4,3,6,220,1962
Altona,3,u,630000,2,1,2,94,1955
Altona,2,u,406000,2,1,1,,
Altona,3,h,660000,3,1,1,123,1955
Altona,3,h,683500,3,1,1,,
Altona,2,u,580000,2,1,1,93,1988
Altona,3,h,1335000,3,1,4,22,1953
Altona,3,t,800000,3,2,2,,1997
Altona,2,u,510000,2,1,1,76,1990
Altona,4,h,1070000,4,2,2,,
Altona,2,u,425000,2,1,2,57,1980
Altona,3,u,605000,3,2,2,,
Altona,3,t,705000,3,2,2,152,
Altona,2,u,391000,2,1,1,65,1965
Altona,2,u,440000,2,1,1,,
Altona,4,h,845000,4,1,2,130,1950
Altona,3,t,743000,3,2,2,176,
Altona,3,u,730000,3,2,1,141,2014
Altona,3,h,635000,3,1,4,,1960
Altona,2,u,620000,2,1,1,,
Altona,2,u,447000,2,1,1,77,1990
Altona,3,u,730000,3,2,1,,
Altona,3,h,678000,3,1,2,87,1950
Altona,2,u,580000,2,2,1,76,2013
Altona,3,h,712000,3,1,2,,
Altona,3,h,840000,3,2,2,136,1965
Altona,3,h,980000,3,1,2,,
Altona,3,t,605100,3,2,0,,
Altona,3,h,880000,3,3,1,,
Altona,3,u,577000,3,2,1,113,2007
Altona,4,h,1030000,4,1,0,,
Altona,3,u,605000,3,1,2,,
Altona,3,h,753000,3,2,2,,
Altona,2,h,857000,2,2,1,100,1950
Altona,3,h,1500000,3,1,1,,
Altona,3,u,730000,3,2,1,3,2014
Altona,3,h,900000,3,1,4,,
Altona,3,h,740000,3,1,2,,
Altona,4,h,931000,4,2,3,,1970
Altona,2,h,535600,2,1,1,91,1996
Altona North,5,h,1085000,5,3,6,251,1965
Altona North,3,h,781000,3,1,2,117,1970
Altona North,3,h,750000,3,1,3,,
Altona North,2,t,421000,2,1,1,77,2009
Altona North,3,h,1405000,3,1,3,,
Altona North,3,h,683000,3,1,2,167,1967
Altona North,3,h,623000,3,1,3,,
Altona North,3,h,720000,3,2,1,130,2012
Altona North,3,h,588000,3,1,1,118,1970
Altona North,3,h,710000,3,1,3,116,1960
Altona North,4,h,875000,3,1,4,169,1965
Altona North,3,h,700000,3,1,3,,
Altona North,2,t,640000,2,1,1,,1965
Altona North,4,h,650000,4,1,4,,
Altona North,3,h,675000,3,2,2,109,2012
Altona North,3,h,708000,3,1,2,97,1960
Altona North,4,h,965000,4,1,4,,
Altona North,3,h,680000,3,1,3,,
Altona North,3,h,770000,3,1,3,603,
Altona North,3,h,923000,3,1,2,,
Altona North,4,h,693000,4,2,4,170,2008
Altona North,3,h,620000,5,2,2,100,2010
Altona North,3,h,728500,3,1,1,157,1960
Altona North,3,h,931000,3,2,1,160,1950
Altona North,3,h,988000,3,1,4,,2008
Altona North,3,h,590000,3,1,2,,
Altona North,2,h,610000,2,1,2,,
Altona North,3,h,815000,3,2,3,130,1960
Altona North,4,h,970000,4,1,2,,
Altona North,4,h,760000,4,1,3,,
Altona North,4,t,847500,4,3,1,,
Altona North,4,h,1200000,4,1,4,158,1960
Altona North,3,h,700000,3,1,1,,
Altona North,3,h,625000,3,1,1,,
Altona North,2,u,292000,2,1,1,70,1970
Armadale,2,u,599000,2,1,1,76,1964
Armadale,2,u,550000,2,1,0,,
Armadale,3,u,995000,3,2,2,100,1998
Armadale,3,t,1205000,3,2,2,105,2000
Armadale,3,h,1939000,3,2,2,150,1889
Armadale,1,u,421500,1,1,0,,
Armadale,3,h,1870000,3,1,1,116,1888
Armadale,2,u,678000,2,1,2,,
Armadale,3,t,1918000,3,2,2,165,1995
Armadale,2,u,660000,2,1,1,,
Armadale,3,h,2050000,3,2,1,116,1910
Armadale,2,u,700000,2,1,2,,
Armadale,2,u,3625000,3,2,2,,2006
Armadale,4,h,3000000,4,2,2,,1934
Armadale,5,h,1525000,8,2,2,,
Armadale,3,u,735000,3,2,1,14,1970
Armadale,2,u,825000,2,1,1,,
Armadale,3,t,1586000,2,2,2,,
Armadale,2,u,645000,3,1,1,,1960
Armadale,1,h,1435000,2,2,1,107,1900
Armadale,1,u,280000,1,1,1,38,1975
Armadale,1,u,400000,1,1,1,,
Armadale,2,h,1780000,2,2,2,,
Armadale,2,u,592500,2,1,1,73,1970
Armadale,2,h,1210000,2,1,0,96,1910
Armadale,4,h,2801000,4,2,2,222,1900
Armadale,1,u,390000,1,1,0,,
Armadale,3,h,1800000,3,2,2,121,1910
Armadale,4,h,2200000,4,1,2,163,1900
Armadale,1,u,324000,1,1,1,,
Armadale,6,h,5525000,5,3,4,516,1935
Armadale,2,h,1125000,3,1,2,,
Armadale,3,h,2250000,3,3,1,,
Armadale,3,h,2360000,3,2,0,,
Armadale,2,h,1900000,2,2,0,,
Armadale,1,u,440000,1,1,1,53,1970
Armadale,2,u,490000,2,1,1,,1966
Armadale,3,h,2365000,3,2,1,,
Armadale,3,h,1300000,2,1,2,106,1900
Armadale,3,u,732000,3,2,2,,
Armadale,2,u,704000,2,1,1,74,1969
Armadale,2,u,620000,3,1,1,98,1970
Armadale,3,h,1900000,3,1,2,108,1900
Armadale,1,u,315000,1,1,1,,
Armadale,1,u,450000,1,1,1,,
Armadale,2,u,710000,2,1,1,80,1970
Armadale,2,u,872000,2,1,1,,1953
Armadale,2,u,598000,2,1,1,88,1970
Armadale,3,h,1285000,3,1,2,80,1920
Armadale,4,h,3660000,4,3,2,,
Armadale,2,u,520000,1,1,1,76,1970
Armadale,4,h,3625000,4,1,2,251,1900
Armadale,4,h,4200000,4,3,3,333,2000
Armadale,3,t,1101000,3,1,2,3,2000
Armadale,3,h,3512500,3,2,2,285,1998
Armadale,4,h,2000000,4,3,4,,
Armadale,3,u,869000,2,1,1,91,1940
Armadale,5,h,2810000,5,2,2,,
Armadale,2,u,565000,3,1,1,,
Armadale,1,u,567000,1,1,1,53,2013
Armadale,2,u,546000,2,0,0,,
Armadale,2,u,471500,2,1,1,,1980
Ascot Vale,2,u,455000,3,1,2,,
Ascot Vale,3,h,940000,3,1,2,108,1920
Ascot Vale,2,u,467000,2,1,1,62,1980
Ascot Vale,3,h,1380000,3,2,2,174,1910
Ascot Vale,2,u,490000,2,1,1,62,1970
Ascot Vale,4,h,1850000,4,3,1,270,1900
Ascot Vale,3,h,1284000,3,1,2,,1938
Ascot Vale,3,h,971000,3,2,2,128,1900
Ascot Vale,2,h,710000,2,1,1,77,1890
Ascot Vale,6,h,2425000,6,3,2,435,1887
Ascot Vale,2,h,750000,2,1,1,92,1920
Ascot Vale,2,h,1053000,2,1,1,109,1900
Ascot Vale,3,h,1377000,3,1,1,168,1900
Ascot Vale,3,h,970000,3,1,2,125,1904
Ascot Vale,2,h,940000,2,1,1,,
Ascot Vale,2,h,751000,2,1,1,79,1890
Ascot Vale,2,h,950000,2,1,1,102,1900
Ascot Vale,2,u,685000,2,1,2,90,1995
Ascot Vale,3,h,1230000,4,1,2,148,1960
Ascot Vale,2,h,636500,2,1,1,,
Ascot Vale,3,h,910000,3,1,0,,
Ascot Vale,2,h,770000,2,1,1,87,1900
Ascot Vale,3,h,960000,3,2,2,,2011
Ascot Vale,4,h,890000,4,1,1,185,1890
Ascot Vale,2,h,965000,2,1,1,,
Ascot Vale,3,h,1440000,3,1,1,131,1900
Ascot Vale,2,h,955000,2,1,0,,
Ascot Vale,2,u,450000,2,1,1,,2010
Ascot Vale,3,h,801000,3,1,2,,1950
Ascot Vale,3,h,1000000,3,2,2,120,1955
Ascot Vale,3,h,1435000,3,2,2,147,1950
Ascot Vale,1,u,390000,1,1,1,58,1972
Ascot Vale,3,h,1425000,3,2,2,139,1920
Ascot Vale,4,h,1340000,3,2,2,232,1978
Ascot Vale,3,h,955000,3,1,1,117,1910
Ascot Vale,4,h,1100000,4,2,5,195,1920
Ascot Vale,3,h,1255000,3,2,2,,
Ascot Vale,2,u,432000,2,1,1,62,1978
Ascot Vale,4,h,1640000,4,3,2,204,1890
Ascot Vale,6,h,1430000,4,2,1,286,1900
Ascot Vale,2,u,610000,2,1,1,104,1995
Ascot Vale,3,h,940000,3,3,1,127,1950
Ascot Vale,3,h,890000,3,1,1,110,1920
Ascot Vale,3,h,1180000,3,2,2,149,1930
Ascot Vale,4,h,1480000,4,2,2,180,1939
Ascot Vale,2,h,1150000,2,1,1,,
Ascot Vale,3,h,1350000,3,1,3,,
Ascot Vale,5,h,1905000,5,2,2,,
Ascot Vale,2,t,865000,2,2,1,132,2015
Ascot Vale,2,t,705000,2,2,1,,1998
Ascot Vale,2,u,442000,2,1,1,62,1975
Ascot Vale,2,u,540000,2,2,1,,
Ascot Vale,3,h,1037500,3,1,2,110,1920
Ascot Vale,3,t,1050000,3,2,2,160,2013
Ascot Vale,2,u,440000,2,1,1,65,1970
Ascot Vale,2,h,1010000,2,1,1,,
Ascot Vale,4,h,1430000,4,2,0,158,1900
Ascot Vale,2,u,570000,2,1,1,,
Ascot Vale,2,u,690000,2,1,1,,
Ascot Vale,3,h,1291000,3,1,2,,
Ascot Vale,3,h,1130000,3,2,1,157,1900
Ascot Vale,3,h,1135000,3,1,1,104,1910
Ascot Vale,4,h,950000,4,2,1,147,1920
Ascot Vale,3,u,790000,3,2,1,148,
Ascot Vale,2,u,390000,2,1,1,69,2012
Ascot Vale,4,h,1345000,4,1,1,155,1920
Ascot Vale,3,h,1381500,3,2,2,168,1900
Ascot Vale,3,h,940000,3,2,2,172,2011
Ascot Vale,3,h,995000,3,2,1,177,2010
Ascot Vale,3,h,1050000,3,1,3,,
Ascot Vale,3,h,786000,3,2,1,120,1940
Ascot Vale,2,h,705000,2,1,3,108,1910
Ascot Vale,2,h,760000,2,1,1,77,1900
Ascot Vale,3,u,487500,3,1,3,,1972
Ascot Vale,3,t,1000000,3,2,2,144,2003
Ascot Vale,4,h,1110000,4,2,1,,1920
Ascot Vale,4,h,1300000,4,1,4,,
Ascot Vale,3,h,1060000,3,1,1,,
Ascot Vale,3,h,1410000,3,2,2,,
Ascot Vale,3,h,1305000,2,1,1,166,1900
Ascot Vale,3,h,932500,3,2,1,,
Ascot Vale,3,h,965000,3,1,0,,
Ascot Vale,3,h,1215000,3,1,1,175,1960
Ascot Vale,2,u,545000,2,1,2,71,1900
Ascot Vale,4,h,1705000,4,2,4,273,2012
Ascot Vale,3,h,970000,2,1,1,,
Ascot Vale,2,h,925000,2,1,1,,
Ashburton,4,h,2650000,4,3,2,399,2015
Ashburton,3,h,1670000,3,2,2,220,1930
Ashburton,3,t,955000,3,2,2,,
Ashburton,3,t,2050000,3,3,4,315,2014
Ashburton,2,u,500000,2,1,1,,2010
Ashburton,2,h,1575000,2,1,2,,
Ashburton,3,h,1555000,3,2,2,149,1935
Ashburton,3,h,1100000,3,3,2,178,2004
Ashburton,3,h,1337000,3,1,2,112,1950
Ashburton,8,h,2950000,9,7,4,618,2009
Ashburton,4,h,2215000,4,2,1,,1940
Ashburton,3,h,1518000,3,2,2,145,1920
Ashburton,3,h,1710000,3,1,2,101,1950
Ashburton,3,h,1655000,3,1,3,152,1940
Ashburton,4,h,1550000,4,2,2,180,1938
Ashburton,3,h,1662000,3,2,2,228,2006
Ashburton,3,h,1665000,3,2,3,145,1945
Ashburton,2,h,1445000,2,1,2,,
Ashburton,5,h,3510000,5,5,2,444,2015
Ashburton,3,t,968000,3,1,1,,
Ashburton,3,t,900000,3,2,2,110,1990
Ashburton,3,h,1500000,3,1,2,,
Ashburton,5,h,2752000,6,4,2,390,2010
Ashburton,3,h,1500000,3,2,2,139,1945
Ashburton,4,h,1800000,4,2,4,206,1950
Ashburton,3,h,1830000,3,2,3,168,1940
Ashburton,3,h,1415000,3,1,1,111,1950
Ashburton,2,h,1440000,2,1,1,104,1940
Ashburton,4,t,1250000,4,2,2,199,2007
Ashburton,3,h,1422000,3,1,2,,
Ashburton,5,h,1600000,5,3,4,266,1950
Ashburton,4,h,1860000,4,2,3,274,2000
Ashburton,3,t,1710000,3,2,2,,1990
Ashburton,4,h,1790000,4,2,2,240,1935
Ashburton,4,h,1950000,4,2,2,278,1940
Ashburton,3,h,1600000,3,1,2,,
Ashburton,3,h,1320000,3,1,2,,
Ashburton,3,h,1650000,3,1,1,164,1947
Ashwood,2,h,995000,2,1,1,,1950
Ashwood,3,h,1250000,3,1,1,,
Ashwood,3,u,1045000,3,2,2,,
Ashwood,4,h,1200000,4,3,2,201,2016
Ashwood,2,h,1075000,2,1,2,114,1950
Ashwood,4,h,1500000,2,2,2,203,2000
Ashwood,3,h,1120000,3,1,2,,
Ashwood,2,t,700000,2,1,2,110,1970
Ashwood,3,h,761000,3,2,4,94,1950
Ashwood,4,h,1270000,4,2,1,,
Ashwood,4,h,1510000,4,2,2,,
Ashwood,3,h,1365000,3,1,1,792,1950
Ashwood,4,h,1100000,3,2,2,152,1970
Ashwood,4,h,1415000,4,3,2,,
Ashwood,2,u,690000,2,1,1,90,2003
Ashwood,3,h,1631000,3,2,3,215,1950
Ashwood,4,h,1500000,4,2,1,255,1930
Ashwood,3,h,1060000,2,1,2,,
Ashwood,5,h,1529500,5,3,2,317,2000
Ashwood,2,u,600000,2,1,1,80,1970
Ashwood,2,u,535000,2,1,1,,
Ashwood,3,h,785000,3,1,1,,1960
Ashwood,4,h,1240000,4,2,2,192,1950
Ashwood,2,u,700000,2,1,2,88,2007
Ashwood,4,h,1350000,4,2,1,,
Ashwood,2,h,1110000,2,1,1,86,1950
Ashwood,3,h,1305000,3,1,1,120,1960
Ashwood,3,h,855000,3,2,1,85,1958
Ashwood,3,t,900500,3,2,2,134,2012
Ashwood,3,h,1200000,3,2,2,198,1970
Ashwood,3,t,830000,2,1,2,130,2012
Avondale Heights,3,h,850000,3,1,1,118,1970
Avondale Heights,3,h,750000,3,1,1,103,1980
Avondale Heights,3,t,851000,3,3,1,181,2017
Avondale Heights,3,h,848000,3,1,2,,
Avondale Heights,4,h,806000,4,2,1,,2008
Avondale Heights,4,h,1155000,3,2,2,225,2008
Avondale Heights,3,h,670000,3,2,2,,
Avondale Heights,4,h,1200000,4,5,4,,
Avondale Heights,3,h,636000,2,1,2,,
Avondale Heights,3,h,680000,3,1,2,120,1970
Avondale Heights,4,h,1160000,4,3,2,,
Avondale Heights,3,h,750000,3,1,1,,
Avondale Heights,3,h,627500,3,1,1,143,1970
Avondale Heights,3,t,880000,3,2,2,,
Avondale Heights,4,h,950000,4,3,3,281,1970
Avondale Heights,4,h,1600000,4,3,3,,
Avondale Heights,2,t,585000,2,1,1,,2012
Avondale Heights,3,h,650000,3,1,3,,
Avondale Heights,3,h,725000,3,1,4,,
Avondale Heights,3,u,665000,3,2,1,,
Avondale Heights,3,h,560500,3,1,1,,
Avondale Heights,3,h,615000,3,1,2,,
Avondale Heights,3,h,845000,3,1,3,,
Avondale Heights,3,h,585000,3,1,2,,
Avondale Heights,2,u,440000,2,1,1,,1999
Avondale Heights,3,h,850000,3,1,2,149,
Avondale Heights,5,h,850000,5,2,4,,
Avondale Heights,3,h,705000,3,1,1,106,1960
Avondale Heights,4,h,1100000,4,3,2,395,1992
Avondale Heights,3,h,892500,3,1,1,118,1965
Avondale Heights,3,h,695000,3,1,2,,
Avondale Heights,2,h,522500,2,1,1,101,1995
Avondale Heights,4,h,680000,4,2,2,140,1960
Avondale Heights,3,u,500000,3,1,1,,1990
Avondale Heights,2,t,550000,2,1,2,,1993
Avondale Heights,3,h,730000,3,2,2,,
Avondale Heights,3,h,875000,3,1,3,117,1960
Avondale Heights,3,h,850000,3,2,8,,
Avondale Heights,3,h,635000,3,1,1,,
Avondale Heights,4,h,762000,4,2,2,150,1961
Avondale Heights,2,u,411000,2,1,1,85,1995
Avondale Heights,4,h,790000,4,2,2,,
Avondale Heights,4,h,605000,4,1,0,,
Avondale Heights,3,h,805000,3,2,2,103,1970
Avondale Heights,4,h,890000,4,2,4,,1960
Avondale Heights,3,h,795000,3,1,1,,
Avondale Heights,3,h,634000,4,2,1,153,1950
Avondale Heights,3,h,642000,3,1,1,,1960
Avondale Heights,3,h,863000,3,2,3,,
Avondale Heights,3,h,740000,3,1,2,,
Balaclava,4,h,1819000,3,2,1,180,1900
Balaclava,2,u,410000,2,1,2,61,1965
Balaclava,1,u,280000,1,1,1,,
Balaclava,2,t,1015000,2,1,2,120,2000
Balaclava,2,u,502500,2,1,1,65,1960
Balaclava,2,u,520000,2,1,0,58,1970
Balaclava,2,u,442000,2,1,1,61,1960
Balaclava,3,h,1193000,3,1,1,100,1920
Balaclava,2,u,416000,2,1,1,49,1960
Balaclava,2,u,820000,2,1,1,,
Balaclava,2,u,474000,2,1,1,59,1970
Balaclava,2,h,981000,2,1,0,84,1930
Balaclava,3,h,1690000,3,2,2,159,1890
Balaclava,2,u,540000,2,1,1,51,1970
Balaclava,3,h,1080000,3,1,1,,1928
Balaclava,1,u,500000,1,1,0,,
Balaclava,2,u,497500,2,0,0,,
Balwyn,2,h,2100000,2,1,1,123,1920
Balwyn,4,h,1800000,4,2,2,218,1985
Balwyn,2,t,1255000,2,1,1,129,2000
Balwyn,3,u,1070000,3,2,2,112,1998
Balwyn,5,h,2570000,5,3,2,420,2009
Balwyn,4,h,2400000,4,2,2,226,1985
Balwyn,3,h,2200000,3,3,2,266,
Balwyn,5,h,3250000,5,5,2,410,
Balwyn,2,u,806000,2,1,1,97,1977
Balwyn,6,h,4000000,6,4,7,449,1935
Balwyn,2,h,1215000,2,2,2,,
Balwyn,5,h,2250000,5,3,2,356,2006
Balwyn,2,u,812000,2,1,1,,
Balwyn,3,h,1140000,3,2,2,,1976
Balwyn,3,h,2330000,3,2,1,,
Balwyn,5,h,2800000,5,3,2,349,2001
Balwyn,2,u,605000,2,1,1,,
Balwyn,3,h,1255000,3,2,2,,
Balwyn,2,h,1850000,3,1,1,166,1930
Balwyn,2,u,805000,3,1,1,,1975
Balwyn,3,h,700000,3,1,1,110,1970
Balwyn,4,h,2130000,4,2,2,,
Balwyn,2,h,500000,2,1,1,72,1960
Balwyn,3,h,2125000,3,2,2,252,1985
Balwyn,4,h,1800000,3,2,2,200,1948
Balwyn,2,u,635000,2,1,1,70,2014
Balwyn,2,u,526000,2,1,1,73,1960
Balwyn,1,h,390000,1,1,1,,
Balwyn,3,h,905000,3,1,2,150,1995
Balwyn,4,h,1750000,4,3,2,308,2016
Balwyn,2,t,760000,2,1,1,100,1960
Balwyn,4,h,3180000,4,3,4,,
Balwyn,3,t,1367000,3,2,2,164,2003
Balwyn,5,h,3600000,5,3,2,,
Balwyn,5,h,2550000,5,3,2,,1930
Balwyn,4,t,1400000,4,3,2,240,2009
Balwyn,4,h,3270000,4,2,4,241,1927
Balwyn,2,u,625000,2,1,1,104,1960
Balwyn,2,t,700000,2,1,1,,
Balwyn,3,h,1860000,3,1,4,465,
Balwyn,4,h,2730000,4,3,2,336,1997
Balwyn,5,h,2020000,5,2,2,,
Balwyn,2,u,460000,2,1,1,79,1950
Balwyn,4,h,2250000,3,1,2,,
Balwyn,2,u,1053000,2,1,2,98,1985
Balwyn,3,h,1800000,3,2,2,,1980
Balwyn,3,t,1472000,3,2,2,170,1995
Balwyn,3,h,2120000,3,1,2,,
Balwyn,3,h,1910000,3,1,2,,
Balwyn,2,u,754000,2,1,1,88,1990
Balwyn,5,h,3000000,5,5,2,,
Balwyn,5,h,3400000,5,6,4,502,
Balwyn,4,h,2188000,4,2,2,253,1981
Balwyn,2,u,755000,2,1,1,92,1980
Balwyn,4,h,2900000,4,3,2,,
Balwyn,4,h,3290000,4,3,2,350,1910
Balwyn,5,h,2665000,4,3,2,,
Balwyn,4,h,1801000,4,2,2,,
Balwyn,4,h,2410000,4,2,1,207,1940
Balwyn,2,u,650000,2,1,1,150,1960
Balwyn,4,h,2275000,4,2,1,,
Balwyn,5,h,2810000,5,3,4,,
Balwyn,3,t,1385000,3,2,2,,
Balwyn,4,h,2000000,3,1,2,291,1930
Balwyn,4,h,1900000,4,2,1,155,1940
Balwyn,3,h,3401000,3,2,1,166,1930
Balwyn,3,h,1750000,3,2,3,193,1943
Balwyn,5,h,4000000,5,4,3,,
Balwyn,3,t,1100000,3,2,1,,1940
Balwyn,5,h,3020000,5,3,2,420,2009
Balwyn,3,h,2950000,4,2,2,,
Balwyn,5,h,2450000,4,2,2,260,1960
Balwyn,3,h,1912000,2,1,2,,
Balwyn,2,u,730000,2,1,1,80,1960
Balwyn,5,h,3900000,5,7,6,,
Balwyn,3,h,1500000,3,2,2,190,2011
Balwyn,3,h,1850000,3,1,1,,1950
Balwyn,4,h,1700000,3,1,1,115,1935
Balwyn,2,h,1010000,2,0,0,,
Balwyn North,3,t,1315000,3,2,2,167,2000
Balwyn North,3,h,1500000,3,2,1,154,1950
Balwyn North,4,h,3230000,4,4,3,275,1960
Balwyn North,2,h,1080000,2,1,1,,
Balwyn North,7,h,1350000,7,2,0,,
Balwyn North,4,h,1905000,4,2,2,185,1955
Balwyn North,5,h,3300000,5,4,2,477,2015
